id,rule
F0,finite local algebra contradiction invalidates affected theorem
F1,branch tree undefined or nonconstructible invalidates leaf-world structure
F2,unnormalized branch measure/amplitude invalidates probabilistic or quantum-like interpretation
F3,failure to derive Born rule or replacement law blocks Everett-style ASH claims
F4,no decoherence/separation mechanism blocks many-worlds/world-like branch claims
F5,observer memories not embedded in branches invalidate commitment model
F6,no branch-to-geometry bridge means no cosmology claim
F7,no stable continuum/causal limit means no standard spacetime claim
F8,matched controls reproduce branch signatures; removing ASH-specific attribution
F9,cosmological observables cannot be computed from fixed equations; blocking empirical validation
F10,prospective predictions revised after unblinding are invalid empirical evidence
