level,name,role
0,finite local algebra,validates local state alphabet
1,branch existence theorem,validates leaf-world structure
2,branch measure/amplitude theorem,makes branches probabilistic or quantum-like
3,decoherence/separation theorem,makes leaves world-like
4,observer commitment theorem,explains realized experience
5,bridge-to-geometry theorem,turns branch ensemble into cosmology
6,synthetic universe recovery,tests generated branch cosmologies
7,matched controls,proves effects are ASH-specific
8,empirical fit,compares to cosmological data
9,prospective prediction,strongest evidence
